"filename", "language", "Dotenv", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Handlebars", "comment", "blank", "total"
"/home/generalegg/Project-P/blog-be/src/modules/mail/templates/new-device.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 108, 0, 9, 117
"/home/generalegg/Project-P/blog-be/src/modules/mail/templates/reset-password.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 134, 0, 12, 146
"/home/generalegg/Project-P/blog-be/src/modules/permissions/dto/create-permission.dto.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"/home/generalegg/Project-P/blog-be/src/modules/permissions/dto/update-permission.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/generalegg/Project-P/blog-be/src/modules/permissions/entities/permission.entity.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"/home/generalegg/Project-P/blog-be/src/modules/permissions/guards/permissions.guard.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 2, 9, 43
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.controller.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"/home/generalegg/Project-P/blog-be/src/modules/permissions/permissions.service.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 15, 87
"/home/generalegg/Project-P/blog-be/src/modules/roles/dto/create-role.dto.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"/home/generalegg/Project-P/blog-be/src/modules/roles/dto/update-role.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/generalegg/Project-P/blog-be/src/modules/roles/entities/role.entity.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 2, 5, 30
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.controller.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 7, 64
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"/home/generalegg/Project-P/blog-be/src/modules/roles/roles.service.ts", "TypeScript", 0, 0, 0, 0, 88, 0, 0, 0, 16, 104
"/home/generalegg/Project-P/blog-be/src/modules/users/dto/create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"/home/generalegg/Project-P/blog-be/src/modules/users/dto/update-user.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/generalegg/Project-P/blog-be/src/modules/users/entities/user.entity.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"/home/generalegg/Project-P/blog-be/src/modules/users/users.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"/home/generalegg/Project-P/blog-be/src/modules/users/users.controller.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 1, 7, 77
"/home/generalegg/Project-P/blog-be/src/modules/users/users.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"/home/generalegg/Project-P/blog-be/src/modules/users/users.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"/home/generalegg/Project-P/blog-be/src/modules/users/users.service.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 47, 15, 153
"/home/generalegg/Project-P/blog-be/src/utils/auth-decorator.util.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 29, 7, 86
"/home/generalegg/Project-P/blog-be/src/utils/error.util.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 7, 6, 31
"/home/generalegg/Project-P/blog-be/src/utils/sanitize.util.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 23, 11, 86
"/home/generalegg/Project-P/blog-be/src/utils/url-format.util.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/generalegg/Project-P/blog-be/test/app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"/home/generalegg/Project-P/blog-be/test/jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/home/generalegg/Project-P/blog-be/tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/generalegg/Project-P/blog-be/tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"Total", "-", 32, 17366, 25, 4, 2287, 33, 242, 260, 492, 20741
